ID,group_ID,instrument_time,corrected_time,longitude,latitude,type
1721,470458,2020-12-30 04:25:00.344200,2020-12-30 04:25:00.286452,-66.917,-0.342,Lightning
1146,470794,2020-12-29 05:14:32.594398,2020-12-29 05:14:32.545519,-66.66,8.325,Lightning
1152,470793,2020-12-29 05:14:12.259599,2020-12-29 05:14:12.210650,-67.405,7.3,Lightning
1145,470793,2020-12-29 05:14:12.259599,2020-12-29 05:14:12.210650,-67.405,7.3,Lightning
1144,470792,2020-12-29 05:13:51.676598,2020-12-29 05:13:51.627571,-68.155,6.26,Lightning
1143,470791,2020-12-29 05:13:44.510198,2020-12-29 05:13:44.461147,-68.416,5.897,UV
1151,470790,2020-12-29 05:13:23.259599,2020-12-29 05:13:23.210474,-69.186,4.822,Lightning
1142,470790,2020-12-29 05:13:23.259599,2020-12-29 05:13:23.210474,-69.186,4.822,Lightning
1141,470789,2020-12-29 05:11:00.426998,2020-12-29 05:11:00.377364,-74.319,-2.421,Lightning
546,469682,2020-12-28 06:01:02.960599,2020-12-28 06:01:02.919850,-72.975,7.796,Lightning
545,469681,2020-12-28 05:59:56.126998,2020-12-28 05:59:56.086007,-75.404,4.418,Lightning
544,469680,2020-12-28 05:59:30.712000,2020-12-28 05:59:30.670917,-76.32,3.13,Lightning
596,469680,2020-12-28 05:59:30.712000,2020-12-28 05:59:30.670917,-76.32,3.13,Lightning
595,469679,2020-12-28 05:59:24.961599,2020-12-28 05:59:24.920498,-76.527,2.838,Lightning
543,469679,2020-12-28 05:59:24.961599,2020-12-28 05:59:24.920498,-76.527,2.838,Lightning
542,469678,2020-12-28 05:59:21.042799,2020-12-28 05:59:21.001681,-76.668,2.64,Lightning
594,469678,2020-12-28 05:59:21.042799,2020-12-28 05:59:21.001681,-76.668,2.64,Lightning
541,469678,2020-12-28 05:59:20.793200,2020-12-28 05:59:20.752082,-76.677,2.627,Lightning
593,469678,2020-12-28 05:59:20.793200,2020-12-28 05:59:20.752082,-76.677,2.627,Lightning
540,469677,2020-12-28 05:59:20.042799,2020-12-28 05:59:20.001678,-76.704,2.589,Lightning
539,469677,2020-12-28 05:59:19.793200,2020-12-28 05:59:19.752079,-76.713,2.576,Lightning
538,469676,2020-12-28 05:59:18.625197,2020-12-28 05:59:18.584075,-76.754,2.517,Lightning
592,469676,2020-12-28 05:59:18.625197,2020-12-28 05:59:18.584075,-76.754,2.517,Lightning
537,469675,2020-12-28 05:59:17.876399,2020-12-28 05:59:17.835277,-76.781,2.479,Lightning
591,469675,2020-12-28 05:59:17.876399,2020-12-28 05:59:17.835277,-76.781,2.479,Lightning
536,469674,2020-12-28 05:59:17.541997,2020-12-28 05:59:17.500867,-76.793,2.462,Lightning
590,469674,2020-12-28 05:59:17.541997,2020-12-28 05:59:17.500867,-76.793,2.462,Lightning
535,469674,2020-12-28 05:59:16.876399,2020-12-28 05:59:16.835269,-76.817,2.428,Lightning
589,469674,2020-12-28 05:59:16.876399,2020-12-28 05:59:16.835269,-76.817,2.428,Lightning
